conjugated,infinitive
disenables,disenable
span,spin
chelates,chelate
sings,sing
stang,sting
taking,take
countersunk,countersink
traffics,traffic
drizzling,drizzle
reprinting,reprint
demobbing,demob
uncapping,uncap
disarticulates,disarticulate
thatching,thatch
stinking,stink
prologizing,prologize
forecasting,forecast
relaid,relay
funking,funk
brittles,brittle
readjusts,readjust
prevaricated,prevaricate
corresponded,correspond
learning,learn
humanized,humanize
misspending,misspend
operated,operate
sang,sing
sits,sit
loans,loan
deloused,delouse
foughten,fight
detailed,detail
chords,chord
shrinking,shrink
throning,throne
bred,breed
behaved,behave
surtaxes,surtax
inputted,input
glooming,gloom
insetting,inset
loaning,loan
narks,nark
tearing,tear
imposted,impost
thatched,thatch
dove,dive
deracinating,deracinate
countered,counter
fractioning,fraction
flying,fly
handwriting,handwrite
sanctions,sanction
arterialized,arterialize
awakes,awake
clapping,clap
grown,grow
arguing,argue
hilting,hilt
renovated,renovate
lighting,light
relining,reline
shew,show
countersinking,countersink
spoken,speak
beating,beat
delimited,delimit
busting,bust
kent,ken
reading,read
evangelizes,evangelize
forewent,forego
beginning,begin
divagating,divagate
lacquered,lacquer
overrode,override
leaped,leap
contrasts,contrast
drew,draw
puts,put
manacling,manacle
refocussed,refocus
emceeing,emcee
unloaded,unload
presets,preset
speeding,speed
knuckled,knuckle
margining,margin
prognosticating,prognosticate
arises,arise
written,write
browsing,browse
overfed,overfeed
analysed,analyse
decentralises,decentralise
girt,gird
chamfers,chamfer
strikes,strike
bending,bend
filtering,filter
overbears,overbear
misshaping,misshape
shops,shop
told,tell
delimiting,delimit
built,build
rising,rise
fissured,fissure
setting,set
disarticulated,disarticulate
outrunning,outrun
drives,drive
herding,herd
dwelled,dwell
dueled,duel
cutting,cut
contrasting,contrast
miskent,misken
prescribes,prescribe
predicts,predict
overridden,override
overhung,overhang
cannibalized,cannibalize
bushels,bushel
hiccoughing,hiccough
freezes,freeze
shriven,shrive
twisting,twist
bent,bend
leaned,lean
burns,burn
booing,boo
subletting,sublet
unyokes,unyoke
forgiven,forgive
terrorizes,terrorize
forbears,forbear
bushwhacks,bushwhack
shalt,shall
undertaken,undertake
undergirding,undergird
overtaking,overtake
befalling,befall
bushwhacking,bushwhack
complies,comply
notating,notate
drest,dress
counterchanges,counterchange
unlearned,unlearn
accustomed,accustom
unwound,unwind
proofreading,proofread
derates,derate
swoll,swell
surpluses,surplus
forspoke,forspeak
inlaying,inlay
undergoing,undergo
outgrowing,outgrow
resets,reset
fleeing,flee
clings,cling
accentuates,accentuate
smiting,smite
nauseates,nauseate
slobbers,slobber
would,will
interbred,interbreed
hits,hit
overcrowded,overcrowd
candies,candy
decentralizes,decentralize
kneeled,kneel
overspilt,overspill
rebooting,reboot
learnt,learn
sewn,sew
girding,gird
prepaying,prepay
axing,ax
lain,lie
nam,nim
dealing,deal
outsold,outsell
fissuring,fissure
koshers,kosher
inlays,inlay
hands,hand
smites,smite
undergot,underget
jolted,jolt
sambaing,samba
refurnishing,refurnish
headquarters,headquarter
trammels,trammel
hanging,hang
exuded,exude
overlies,overlie
lustres,lustre
brayed,bray
falling,fall
sways,sway
bloating,bloat
redid,redo
overspills,overspill
quantifying,quantify
befuddled,befuddle
misfed,misfeed
ate,eat
assents,assent
taught,teach
recasting,recast
outbids,outbid
canvassed,canvass
abided,abide
zincs,zinc
forgone,forgo
writhed,writhe
surtaxed,surtax
boycotts,boycott
overturns,overturn
journaled,journal
misspeaking,misspeak
corresponding,correspond
sunburned,sunburn
foregone,forego
fibrillating,fibrillate
sweeps,sweep
lazied,lazy
undertook,undertake
freezing,freeze
odorizes,odorize
overdid,overdo
spoke,speak
herds,herd
sloped,slope
ionized,ionize
saw,see
irrupts,irrupt
quiets,quiet
brainwashes,brainwash
discarded,discard
countering,counter
outdoing,outdo
miscasts,miscast
misused,misuse
slept,sleep
shat,shit
immigrated,immigrate
brined,brine
trending,trend
prognosticates,prognosticate
spilling,spill
brailles,braille
holden,hold
rankled,rankle
derating,derate
depicting,depict
departmentalizing,departmentalize
inbreeding,inbreed
heard,hear
humanizing,humanize
outlining,outline
overbidding,overbid
misspelled,misspell
yellowed,yellow
naysaid,naysay
partakes,partake
mousetraps,mousetrap
outbidden,outbid
convoking,convoke
cropping,crop
coped,cope
swayed,sway
pleading,plead
screamed,scream
simulcasted,simulcast
bears,bear
abides,abide
stringing,string
shrinks,shrink
stood,stand
declares,declare
deluded,delude
streaked,streak
spellbinding,spellbind
longed,long
redyes,redye
missent,missend
lynching,lynch
philandering,philander
retold,retell
meant,mean
imparting,impart
laths,lath
thrusting,thrust
shaken,shake
foreknows,foreknow
gooses,goose
selling,sell
spoiling,spoil
rent,rend
overbids,overbid
strided,stride
chastised,chastise
warred,war
captivating,captivate
detailing,detail
knelt,kneel
kens,ken
waylaid,waylay
coping,cope
bogies,bogie
underborne,underbear
lay,lie
larks,lark
palsying,palsy
were,be
odorizing,odorize
mizzled,mizzle
cuffing,cuff
smote,smite
bickers,bicker
mishearing,mishear
ingeminated,ingeminate
leaved,leave
tinseled,tinsel
blest,bless
luxuriated,luxuriate
pesters,pester
rending,rend
rankles,rankle
dueling,duel
aluminizing,aluminize
ingeminating,ingeminate
overshaken,overshake
immigrating,immigrate
ravaging,ravage
lidding,lid
brought,bring
chooses,choose
underdressed,underdress
streaks,streak
counters,counter
disesteems,disesteem
bearing,bear
prognosticated,prognosticate
outshined,outshine
said,say
countersinks,countersink
redying,redye
incited,incite
overbent,overbend
funked,funk
uplifted,uplift
deputises,deputise
margined,margin
daring,dare
wooed,woo
swindles,swindle
overbooked,overbook
worthing,worth
arisen,arise
inputs,input
bolsters,bolster
margins,margin
clocked,clock
idolizes,idolize
duels,duel
shedded,shed
embeds,embed
paupered,pauper
dwelt,dwell
strengthens,strengthen
hides,hide
sews,sew
being,be
bolstered,bolster
jamming,jam
waxed,wax
overdrives,overdrive
assumes,assume
factors,factor
exceeds,exceed
underpaid,underpay
swells,swell
wobbled,wobble
notates,notate
overbearing,overbear
lallygagging,lallygag
brining,brine
stampedes,stampede
slipping,slip
brainwashed,brainwash
teaching,teach
building,build
disbarred,disbar
disenabled,disenable
nicked,nick
won,win
beseen,besee
biding,bide
spells,spell
smashed,smash
rebuilded,rebuild
breads,bread
worthen,worth
outruns,outrun
wroken,wreak
scrams,scram
frostbites,frostbite
despairs,despair
craunching,craunch
palters,palter
pardons,pardon
outtold,outtell
forecasts,forecast
saith,say
reprints,reprint
elevated,elevate
reintroduced,reintroduce
misreading,misread
canst,can
birched,birch
reselling,resell
rumpling,rumple
pictured,picture
preys,prey
complots,complot
reformulates,reformulate
luges,luge
spoilt,spoil
demobs,demob
tenons,tenon
wreaks,wreak
antedating,antedate
dialogued,dialogue
speculating,speculate
crusted,crust
slackens,slacken
laded,lade
drug,drag
prepays,prepay
should,shall
brainwashing,brainwash
writes,write
prevaricating,prevaricate
crosscuts,crosscut
overdrawn,overdraw
gasconaded,gasconade
underbought,underbuy
broadcasted,broadcast
refuges,refuge
renovating,renovate
panelling,panel
rides,ride
razing,raze
slayed,slay
pistolling,pistol
manacled,manacle
etching,etch
lost,lose
outsung,outsing
pictures,picture
caulked,caulk
cartoons,cartoon
interbreeds,interbreed
miswedded,miswed
disgracing,disgrace
credited,credit
knits,knit
beshone,beshine
headquartering,headquarter
sells,sell
talked,talk
twists,twist
overgrowing,overgrow
mistreating,mistreat
willed,will
outdid,outdo
outdone,outdo
tires,tire
remade,remake
simulcasting,simulcast
referees,referee
leaps,leap
underlay,underlie
spreads,spread
understanding,understand
rewrote,rewrite
antedated,antedate
melting,melt
overdrew,overdraw
exacerbated,exacerbate
throwing,throw
socketed,socket
grinding,grind
relined,reline
reaffirming,reaffirm
rappeling,rappel
builds,build
wooing,woo
cushioned,cushion
thatches,thatch
contradicts,contradict
bolstering,bolster
fibrillates,fibrillate
unbinding,unbind
misgot,misget
gasconading,gasconade
shapen,shape
underdrawn,underdraw
wast,be
meeting,meet
shore,shear
isolating,isolate
polymerizing,polymerize
assented,assent
broughten,bring
axes,ax
mizzling,mizzle
winding,wind
inlaid,inlay
ravels,ravel
lallygags,lallygag
rebooted,reboot
hustles,hustle
interleaving,interleave
gotten,get
shrank,shrink
overdresses,overdress
overflew,overfly
exterminated,exterminate
says,say
grouping,group
overloading,overload
slides,slide
uncapped,uncap
accedes,accede
overdriving,overdrive
swum,swim
stridden,stride
overdrank,overdrink
overbuys,overbuy
barricadoing,barricado
drawing,draw
overcomes,overcome
slimes,slime
swears,swear
shaking,shake
dissuading,dissuade
bidded,bid
blenches,blench
molten,melt
undersigning,undersign
toyed,toy
falls,fall
befuddling,befuddle
alights,alight
wetting,wet
swept,sweep
swore,swear
misspells,misspell
screams,scream
koshering,kosher
mown,mow
moving,move
tired,tire
fostered,foster
reads,read
misdiagnosing,misdiagnose
keeping,keep
overshot,overshoot
contradicted,contradict
brast,burst
canvassing,canvass
undersigned,undersign
cashiering,cashier
obtrudes,obtrude
outgrew,outgrow
sanctioned,sanction
boomerangs,boomerang
proverbing,proverb
knew,know
cues,cue
deflates,deflate
catches,catch
fissures,fissure
girds,gird
militated,militate
ionizing,ionize
paltered,palter
ignited,ignite
speeded,speed
overfeeding,overfeed
undergirded,undergird
hears,hear
lustring,lustre
susurrates,susurrate
overstridden,overstride
forelaid,forelay
fighting,fight
instals,instal
strains,strain
unloading,unload
belabours,belabour
idolized,idolize
sprains,sprain
overshined,overshine
rankling,rankle
fixes,fix
breading,bread
thorning,thorn
discards,discard
factoring,factor
breaking,break
counterchanging,counterchange
mislearned,mislearn
forsaking,forsake
misunderstood,misunderstand
catnaps,catnap
drunken,drink
resigns,resign
cashiers,cashier
simulcasts,simulcast
miskenned,misken
installing,instal
demobbed,demob
hewn,hew
kidded,kid
wreaked,wreak
yeasts,yeast
backdropping,backdrop
speculates,speculate
barfs,barf
lashing,lash
oversleeps,oversleep
sawing,saw
sunburning,sunburn
archives,archive
leaching,leach
seeing,see
subordinated,subordinate
parallelled,parallel
underdrest,underdress
begun,begin
photosensitizing,photosensitize
strid,stride
outspends,outspend
repays,repay
sold,sell
beseeching,beseech
insets,inset
disjoining,disjoin
withstood,withstand
fundraises,fundraise
founden,find
hounded,hound
waylaying,waylay
strived,strive
refurnishes,refurnish
prescribed,prescribe
lipreading,lipread
fronts,front
cartooning,cartoon
aspersing,asperse
slumps,slump
triangulated,triangulate
overhearing,overhear
rumbles,rumble
bemired,bemire
chorded,chord
crosscutting,crosscut
quits,quit
steeplechased,steeplechase
cannibalizes,cannibalize
diffracting,diffract
graves,grave
smashing,smash
assuming,assume
smells,smell
bids,bid
decalling,decal
goosed,goose
is,be
surplussed,surplus
ignites,ignite
curtails,curtail
awoke,awake
recompenses,recompense
grinds,grind
fundraising,fundraise
garnished,garnish
vinifying,vinify
snapped,snap
refocussing,refocus
pistolled,pistol
misstating,misstate
righted,right
spun,spin
redeploys,redeploy
underwriting,underwrite
petrols,petrol
slitted,slit
gainsaid,gainsay
breadboards,breadboard
misbecame,misbecome
siloing,silo
backdrops,backdrop
abode,abide
vermilioned,vermilion
misspeaks,misspeak
journaling,journal
depicted,depict
fruiting,fruit
sows,sow
lit,light
donates,donate
overwrought,overwork
reissues,reissue
microfilmed,microfilm
underlain,underlie
browbeats,browbeat
loaned,loan
retrod,retread
lathing,lath
mistreats,mistreat
upsets,upset
benomen,benim
shooting,shoot
blackballing,blackball
slinks,slink
copes,cope
thinks,think
standing,stand
righting,right
landscaping,landscape
misspent,misspend
casts,cast
eaten,eat
invaliding,invalid
slumping,slump
overpaying,overpay
overblown,overblow
underlies,underlie
undertakes,undertake
unquotes,unquote
rives,rive
baptised,baptise
proverbed,proverb
prepaid,prepay
forgives,forgive
lets,let
pays,pay
blackballed,blackball
divagated,divagate
apportioned,apportion
unlearning,unlearn
hews,hew
dwells,dwell
nictitates,nictitate
came,come
apportions,apportion
unreeling,unreel
leaning,lean
reintroducing,reintroduce
became,become
tinkled,tinkle
vinified,vinify
anticking,antic
saken,sake
socketing,socket
has,have
bogied,bogie
creeps,creep
honking,honk
grounden,grind
swaying,sway
weeps,weep
undercuts,undercut
lisping,lisp
sent,send
operates,operate
didst,do
claps,clap
spoils,spoil
interwoven,interweave
isolated,isolate
shoeing,shoe
shot,shoot
decriminalizing,decriminalize
achromatised,achromatise
am,be
overborne,overbear
shopping,shop
misdealt,misdeal
reft,reave
lifeguarding,lifeguard
encroaches,encroach
exacerbates,exacerbate
forlaid,forlay
sinks,sink
hewed,hew
slips,slip
lent,lend
resettled,resettle
buckled,buckle
pistols,pistol
zincking,zinc
sintered,sinter
complotted,complot
surtaxing,surtax
slays,slay
masquerading,masquerade
buying,buy
beseeched,beseech
stampeding,stampede
deluding,delude
idling,idle
parallelling,parallel
sowed,sow
overhanged,overhang
handwritten,handwrite
knows,know
outsworn,outswear
bombarding,bombard
unbends,unbend
forbidding,forbid
rung,ring
impelled,impel
cascaded,cascade
overbuying,overbuy
underdresses,underdress
thrives,thrive
perforating,perforate
beats,beat
jesting,jest
overcrowds,overcrowd
adjures,adjure
behaves,behave
sook,sake
weaved,weave
deputised,deputise
calumniating,calumniate
oversleeping,oversleep
flung,fling
flies,fly
toenailed,toenail
vext,vex
talking,talk
brings,bring
strove,strive
graved,grave
squashed,squash
roved,rove
breadboarding,breadboard
or,queath
defecates,defecate
pinwheeled,pinwheel
forbad,forbid
enshrouding,enshroud
misbegot,misbeget
flings,fling
waxen,wax
kidding,kid
underwrites,underwrite
winded,wind
cranking,crank
mistaken,mistake
sainting,saint
sweeped,sweep
chamfered,chamfer
hackneying,hackney
wends,wend
overwrote,overwrite
stampeded,stampede
treading,tread
eradicated,eradicate
sowing,sow
plumbs,plumb
sliming,slime
installed,instal
baptises,baptise
continued,continue
shaves,shave
woos,woo
digs,dig
analysing,analyse
outstays,outstay
shrunken,shrink
reformulated,reformulate
waxes,wax
overheard,overhear
springs,spring
extorting,extort
clinging,cling
brandishes,brandish
comprises,comprise
mows,mow
teaches,teach
walking,walk
works,work
regrows,regrow
mischosen,mischoose
strides,stride
landscaped,landscape
pleaded,plead
rises,rise
grows,grow
slumped,slump
ingeminates,ingeminate
refocuses,refocus
overswung,overswing
went,go
knowing,know
clept,clepe
jests,jest
forswearing,forswear
catnapped,catnap
sockets,socket
trammeling,trammel
froze,freeze
bore,bear
misknown,misknow
elaborates,elaborate
sneaking,sneak
misdoes,misdo
interred,inter
rereads,reread
comes,come
thirsts,thirst
holds,hold
arising,arise
withsaid,withsay
strewed,strew
lisps,lisp
ordained,ordain
sawn,saw
hangs,hang
skived,skive
convoked,convoke
sambaed,samba
vitiates,vitiate
risen,rise
fibrillated,fibrillate
unbinds,unbind
reaving,reave
bound,bind
spurns,spurn
thorns,thorn
remunerated,remunerate
sunken,sink
axed,ax
overturning,overturn
forbids,forbid
mishears,mishear
cleped,clepe
flouting,flout
rags,rag
leaded,lead
been,go
neatens,neaten
couth,can
flickering,flicker
overworked,overwork
lidded,lid
overlay,overlie
outgrown,outgrow
comminuting,comminute
alighting,alight
sporing,spore
boldfaces,boldface
reeducates,reeducate
landed,land
rappelled,rappel
flied,fly
felt,feel
parching,parch
quirted,quirt
recasts,recast
redoing,redo
inbreeds,inbreed
goes,go
mistook,mistake
adzed,adze
leaves,leave
reaffirms,reaffirm
throned,throne
tenoning,tenon
found,find
irrupted,irrupt
art,be
commiserates,commiserate
overflying,overfly
microfilming,microfilm
begotten,beget
boomeranging,boomerang
remunerating,remunerate
dragging,drag
emcees,emcee
redrawing,redraw
cocoons,cocoon
stank,stink
dresses,dress
broadcasting,broadcast
decriminalizes,decriminalize
ragging,rag
fought,fight
underlaying,underlay
stayed,stay
upholds,uphold
overbooking,overbook
handwrit,handwrite
bespake,bespeak
longs,long
paupers,pauper
talks,talk
rids,rid
wrings,wring
buncoes,bunco
decentralized,decentralize
foredating,foredate
born,bear
nictitated,nictitate
proverbs,proverb
ingrafted,ingraft
drinks,drink
landing,land
canning,can
held,hold
interwove,interweave
paralleling,parallel
impels,impel
withheld,withhold
stricken,strike
lifeguards,lifeguard
feuded,feud
busheling,bushel
digged,dig
slung,sling
unyoked,unyoke
formed,form
misjudges,misjudge
misgotten,misget
militates,militate
laid,lay
endangered,endanger
rode,ride
hast,have
corresponds,correspond
misspoke,misspeak
reaves,reave
pestered,pester
hobbed,hob
dreams,dream
stomping,stomp
slits,slit
itemed,item
subcontracts,subcontract
wearing,wear
overhangs,overhang
misborne,misbear
underpinning,underpin
ordains,ordain
chamfering,chamfer
jammed,jam
evangelizing,evangelize
sworn,swear
lights,light
pyramided,pyramid
gasconades,gasconade
shutting,shut
dressed,dress
rewedded,rewed
clad,clothe
bides,bide
dialoguing,dialogue
wove,weave
trodden,tread
niching,niche
regularised,regularise
trafficking,traffic
strives,strive
writhes,writhe
lacquers,lacquer
diffracted,diffract
binding,bind
susurrated,susurrate
overwriting,overwrite
payed,pay
letting,let
exudes,exude
forgets,forget
tinselled,tinsel
overslidden,overslide
demobilizes,demobilize
withdrew,withdraw
incarnated,incarnate
immixed,immix
hosts,host
resold,resell
wrote,write
breaded,bread
incarnating,incarnate
interleaves,interleave
duelling,duel
smitten,smite
lazies,lazy
gussied,gussy
decentralised,decentralise
working,work
neighbored,neighbor
compromising,compromise
perforates,perforate
stole,steal
blowing,blow
commiserating,commiserate
wars,war
inciting,incite
imposts,impost
depressurizes,depressurize
bends,bend
dissembled,dissemble
sprung,spring
cockles,cockle
staining,stain
officiated,officiate
pestering,pester
creamed,cream
undershot,undershoot
catechizing,catechize
handwrote,handwrite
foresees,foresee
riving,rive
interring,inter
departmentalized,departmentalize
wins,win
rethinking,rethink
abrades,abrade
environed,environ
girded,gird
overrides,override
accentuated,accentuate
rumbling,rumble
keeps,keep
comminutes,comminute
misgives,misgive
staying,stay
overeaten,overeat
screaming,scream
overreached,overreach
choosing,choose
fits,fit
striding,stride
overseen,oversee
leans,lean
overslept,oversleep
extended,extend
strode,stride
bode,bide
relines,reline
unwinding,unwind
shitten,shit
shaven,shave
stomps,stomp
shielding,shield
ravelled,ravel
speaking,speak
eradicating,eradicate
smashes,smash
flinging,fling
raveled,ravel
wrung,wring
busted,bust
spilt,spill
gone,go
candying,candy
outshone,outshine
underbound,underbind
incites,incite
refereeing,referee
refreshening,refreshen
begot,beget
braked,brake
diving,dive
brandished,brandish
forbearing,forbear
barfed,barf
hiccoughs,hiccough
mayst,may
redrawn,redraw
booed,boo
clang,cling
rebuilds,rebuild
melted,melt
cranked,crank
underwent,undergo
acidulating,acidulate
chances,chance
stuck,stick
compressed,compress
shakes,shake
caulking,caulk
overshoots,overshoot
noticed,notice
parched,parch
presetting,preset
neighboring,neighbor
cuing,cue
misstates,misstate
mislearnt,mislearn
transformed,transform
rends,rend
palpitating,palpitate
invites,invite
recompensing,recompense
twinkled,twinkle
vitiating,vitiate
paupering,pauper
sweated,sweat
digressing,digress
outbidding,outbid
relays,relay
vitalizing,vitalize
tiering,tier
swungen,swing
thriving,thrive
filters,filter
panelled,panel
overlaid,overlay
nauseating,nauseate
leading,lead
began,begin
mistakes,mistake
reshooting,reshoot
squashing,squash
interlaid,interlay
approved,approve
compromised,compromise
toenailing,toenail
transforms,transform
blenched,blench
tiers,tier
wrang,wring
flees,flee
flickered,flicker
slobbered,slobber
catnapping,catnap
paralleled,parallel
ragged,rag
oversupplying,oversupply
gargling,gargle
calumniated,calumniate
clove,cleave
wafered,wafer
palsied,palsy
telling,tell
reorientating,reorientate
overreaching,overreach
ingrafts,ingraft
overturned,overturn
cinematizing,cinematize
overeating,overeat
misdone,misdo
sleeping,sleep
upholden,uphold
cinematized,cinematize
overcasts,overcast
waylays,waylay
barfing,barf
cannibalizing,cannibalize
curtailed,curtail
feuds,feud
overran,overrun
luxuriating,luxuriate
slitten,slit
lynches,lynch
understood,understand
goosing,goose
repaying,repay
undergoes,undergo
costed,cost
strung,string
surplused,surplus
wedding,wed
breeding,breed
coveting,covet
waked,wake
extemporised,extemporise
reaffirmed,reaffirm
loses,lose
decaled,decal
flew,fly
reaved,reave
belabouring,belabour
tickling,tickle
barricados,barricado
abidden,abide
hobs,hob
swinging,swing
swolten,swelt
bespoken,bespeak
parallels,parallel
snaps,snap
cushions,cushion
descries,descry
colligating,colligate
leaving,leave
preachifying,preachify
silos,silo
encroached,encroach
waxing,wax
unquoted,unquote
redyeing,redye
phones,phone
trod,tread
toenails,toenail
speeds,speed
dissuades,dissuade
slinked,slink
parches,parch
oversews,oversew
regrew,regrow
accentuating,accentuate
leads,lead
shines,shine
underdid,underdo
lope,leap
burnt,burn
phoned,phone
compresses,compress
withdrawing,withdraw
elevates,elevate
creams,cream
luxuriates,luxuriate
rived,rive
rings,ring
cashiered,cashier
blesses,bless
photosensitized,photosensitize
reprinted,reprint
creeping,creep
defecated,defecate
aspires,aspire
neatening,neaten
frills,frill
cocooned,cocoon
underdrew,underdraw
bombards,bombard
graven,grave
palsies,palsy
absolved,absolve
undresses,undress
emigrated,emigrate
liquors,liquor
kenned,ken
declaring,declare
aspiring,aspire
overcasting,overcast
foretold,foretell
oversupplied,oversupply
outlined,outline
retreading,retread
striking,strike
blowed,blow
nimmed,nim
gussies,gussy
accumulating,accumulate
analyses,analyse
institutionalized,institutionalize
unlearnt,unlearn
bounden,bind
psychs,psych
reboots,reboot
shitting,shit
outran,outrun
misspelt,misspell
reweds,rewed
insured,insure
hiccoughed,hiccough
